war_id,war_name,country,side,start_year,end_year,deaths,region,duration
1,Franco-Spanish War,Spain,2,1823,1823,600,2,1
1,Franco-Spanish War,France,1,1823,1823,400,2,1
4,First Russo-Turkish,Ottoman Empire,2,1828,1829,80000,11,2
4,First Russo-Turkish,Russia,1,1828,1829,50000,11,2
7,Mexican-American,Mexico,2,1846,1847,6000,1,2
7,Mexican-American,United States of America,1,1846,1847,13283,1,2
10,Austro-Sardinian,Tuscany,2,1848,1848,100,2,1
10,Austro-Sardinian,Italy,2,1848,1848,3400,2,1
10,Austro-Sardinian,Austria,1,1848,1848,3927,2,1
10,Austro-Sardinian,Modena,2,1848,1848,100,2,1
13,First Schleswig-Holstein,Prussia,1,1848,1848,2500,2,1
13,First Schleswig-Holstein,Denmark,2,1848,1848,3500,2,1
16,Roman Republic,France,1,1849,1849,1000,2,1
16,Roman Republic,Two Sicilies,1,1849,1849,100,2,1
16,Roman Republic,Austria,1,1849,1849,100,2,1
16,Roman Republic,Papal States,2,1849,1849,1400,2,1
19,La Plata,Argentina,2,1851,1852,800,1,2
19,La Plata,Brazil,1,1851,1852,500,1,2
22,Crimean,Turkey,1,1853,1856,45000,2,4
22,Crimean,Italy,1,1855,1856,2200,2,2
22,Crimean,France,1,1854,1856,95000,2,3
22,Crimean,United Kingdom,1,1854,1856,22000,2,3
22,Crimean,Russia,2,1853,1856,100000,2,4
25,Anglo-Persian,United Kingdom,1,1856,1857,500,6,2
25,Anglo-Persian,Iran,2,1856,1857,1500,6,2
28,Italian Unification,Sardinia/Piedmont,1,1859,1859,2500,2,1
28,Italian Unification,Austria,2,1859,1859,12500,2,1
28,Italian Unification,France,1,1859,1859,7500,2,1
31,First Spanish-Moroccan,Morocco,2,1859,1860,6000,6,2
31,First Spanish-Moroccan,Spain,1,1859,1860,4000,6,2
34,Italian-Roman,Sardinia/Piedmont,1,1860,1860,300,2,1
34,Italian-Roman,Papal States,2,1860,1860,700,2,1
37,Neapolitan,Two Sicilies,2,1860,1861,400,2,2
37,Neapolitan,Sardinia/Piedmont,1,1860,1861,600,2,2
40,Franco-Mexican,Mexico,1,1862,1867,12000,1,6
40,Franco-Mexican,France,2,1862,1867,8000,1,6
43,Ecuadorian-Colombian,Colombia,1,1863,1863,300,1,1
43,Ecuadorian-Colombian,Ecuador,2,1863,1863,700,1,1
46,Second Schleswig-Holstein,Germany,1,1864,1864,1048,2,1
46,Second Schleswig-Holstein,Denmark,2,1864,1864,2933,2,1
46,Second Schleswig-Holstein,Austria,1,1864,1864,500,2,1
49,Lopez,Argentina,1,1865,1870,10000,1,6
49,Lopez,Paraguay,2,1864,1870,200000,1,7
49,Lopez,Brazil,1,1864,1870,100000,1,7
52,Naval War,Chile,1,1865,1866,100,1,2
52,Naval War,Peru,1,1866,1866,600,1,1
52,Naval War,Spain,2,1865,1866,300,1,2
55,Seven Weeks,Italy,1,1866,1866,4000,2,1
55,Seven Weeks,Hesse Grand Ducal,2,1866,1866,100,2,1
55,Seven Weeks,Wuerttemburg,2,1866,1866,100,2,1
55,Seven Weeks,Bavaria,2,1866,1866,500,2,1
55,Seven Weeks,Austria,2,1866,1866,28000,2,1
55,Seven Weeks,Germany,1,1866,1866,10000,2,1
55,Seven Weeks,Mecklenburg Schwerin,1,1866,1866,100,2,1
55,Seven Weeks,Hesse Electoral,2,1866,1866,100,2,1
55,Seven Weeks,Saxony,2,1866,1866,600,2,1
